Unidade da Federação;0201 Coleta de material;0209 Diagnóstico por endoscopia;0211 Métodos diagnósticos em especialidades;0301 Consultas / Atendimentos / Acompanhamentos;0303 Tratamentos clínicos (outras especialidades);0304 Tratamento em oncologia;0305 Tratamento em nefrologia;0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas;0310 Parto e nascimento;0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa;0402 Cirurgia de glândulas endócrinas;0403 Cirurgia do sistema nervoso central e periférico;0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço;0405 Cirurgia do aparelho da visão;0406 Cirurgia do aparelho circulatório;0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal;0408 Cirurgia do sistema osteomuscular;0409 Cirurgia do aparelho geniturinário;0410 Cirurgia de mama;0411 Cirurgia obstétrica;0412 Cirurgia torácica;0413 Cirurgia reparadora;0414 Bucomaxilofacial;0415 Outras cirurgias;0416 Cirurgia em oncologia;0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante;0503 Ações relacionadas à doação de orgãos e tecidos para transplante;0504 Processamento de tecidos para transplante;0505 Transplante de orgãos, tecidos e células;0506 Acompanhamento e intercorrências no pré e póstransplante
Rondônia;31676,88;1466,82;;270129,82;60531404,74;2180821,13;2342410,09;2437285,8;4664290,56;182590,55;35730,82;2747160,43;817803,16;270254,38;2369891,52;3721937,54;4790460,1;1412896,57;41134,89;8772943,07;654355,26;116912,64;6365,65;7773157,35;2737947,38;;111510,06;;113682,87;21494,4
Acre;12324,49;8600,23;;139162,37;17449368,77;390114,69;517791,09;851959,05;3669077,1;38093,6;19820,38;1298701,61;377115,94;50837,54;1776569,45;2278402,22;2614462,23;474363,69;26113,49;5259452,98;253340,73;58042,49;2384,74;970084,94;664291,29;;12304,84;;714484,1;90949,49
Amazonas;7766,6;3619,4;;484186,01;107862450;1704801,4;1952811,88;1894835,92;21042147,42;192205,07;50073,15;2270279,2;1804610,86;823156,7;9648838,76;8976134,26;7874746,75;2363945,97;132951,22;19399808,26;1668113,09;1704660,43;2111,35;12739690,24;5354298,15;;234974,08;19577,6;;
Roraima;3651,12;;;163855,16;19506048,95;262017,82;708311,05;864650,85;4519406,9;14928,16;5302,39;428868,88;591544,19;41542,88;105836,32;962979,16;1272734,2;313648,34;12582,86;4579581,53;533575,99;16316,24;21248,23;1344150,93;592310,8;;3334,88;;;
Pará;50976,58;66311,15;;579330,89;193299733;7671600,56;7481732,02;4089078,85;29552982,37;961331,29;95858,84;6296443,94;4329628,67;3516779,82;20448350,99;19660125,15;14716388,27;8058347,63;265126,04;40009378,9;3457221,43;2675397,12;969976,41;70860529,89;6712075,3;;86789,57;36824;588814,89;336246,11
Amapá;1593,07;;;29720,72;12044642,81;238132,52;197170,95;295297,86;4483061,34;25580,4;10731,49;176131,23;56771,97;8051,33;3002574,84;1163414,5;960236,02;496560,83;14467,19;3579034,83;173976,38;63316,53;328,34;271803,96;579734,31;;;;;
Tocantins;2994,73;7882,52;;74842,19;34740722,75;1157279,02;1714575,67;1269853,58;4759297,46;116887,92;44928,86;1680516,84;999552,41;40211,58;4949135,72;3258913,37;4257024,3;925029,97;52418,82;6961261,49;567122,21;396495,24;34416,05;7774072,37;2249804,85;;34727,84;10646,4;25696,8;
Maranhão;35500,37;;;197090,46;188299935,7;7059060,63;4830335,01;3464830,06;24957299,89;1274317,56;103827,18;5711839,27;3348057,38;2932550,84;9158184,59;17639987,91;17929049,92;8912317,49;206762,29;29820853,69;2712967,75;1165335,89;42174,66;31116069,84;13014172,82;;115173,98;;431193,33;352580,54
Piauí;53492,31;10583,85;;392661,21;111907027,7;4940282,85;1946339,17;1231445,88;9951985,64;205427,77;35074,93;4236702,79;2046232,08;468124,94;12112572,19;8052540,69;10498425,74;2580417,71;78279,07;17108301,44;2341916,89;1529489,39;9251,81;21286558,8;2866020,54;;132584,61;42246,4;126204,14;135228,36
Ceará;100460,54;1283,7;15708;3661760,49;271515760,4;6425900,31;8630240,53;6197483,89;23139819,04;1232797,75;262253,04;11297329,37;7537686,24;997031,75;57561570,54;22440092,89;24207024,94;8069632,2;451436,26;43013288,32;6924984,05;3599770,48;21795,32;80166143,33;15257809,96;79404,36;2403003,54;;27975626,08;2854530,58
Rio Grande do Norte;14808,58;251487,7;;3023749,75;96816975,59;8152219,85;2472962,72;2393574,63;8648563,25;625888,17;88274,14;5223867,65;3643111,83;1066474,83;27963808,17;6754521,18;5973895,43;2622025,18;144691,64;18817855,86;2441915,2;1461627,6;13075,92;64906308,4;14038530,27;98449,4;216842,61;;4271659,63;983121,58
Paraíba;31228,14;22251,52;5440;264385,78;100662111,2;5884853,5;2632966,34;1179728,23;11463278,26;148575,86;51689,01;2493051,22;1638139;633360,93;20151022,64;7855633,73;10088080,5;2510661,77;182894,67;19311718,79;1785139,61;865902,73;9015,43;26987106,21;8225276,46;;189767,14;;2587444,52;84296,51
Pernambuco;277832,38;106310,11;94173,95;1127289,46;366426185;24688602,57;12480426,26;6325140,8;31532069,34;1247942,59;122183,03;10879312,01;6977031,33;2548188,15;50407627,32;19054739,64;29132089,11;7539294,63;403600,48;35778255,73;6951814,48;10538955,65;67664,5;132397627,9;18682749,09;262964,23;1760343,31;157392,8;30704414,61;5365905,61
Alagoas;22859,46;75806,38;1723,05;119208,48;87950620,42;6392946,83;3774321,23;2108227,19;12390105,83;668838,46;42068,88;1640777,71;1785554,83;1761754,1;21526934,66;5562551,13;8644350,15;2708279,17;142432,86;15484858,46;949608,45;443054,26;58493,34;27791848,8;3271707,3;;39690,69;;139825,66;71173,26
Sergipe;7917,15;59849,38;;147557,48;58406655,3;1198517,82;2353773,65;651569,58;10297886,4;91853,14;57104,99;3449343,3;1666129,53;714227,19;10051001,74;4783166,91;6692851,06;1654479,53;77965,09;8773950,59;921596,9;427901,71;11871,36;4557720,91;2980600,98;;206099,29;;;
Bahia;153813,08;92736,32;10896;1852356,25;385107984,8;17438422,12;21896852,48;7646695,58;45568293,17;1928819,2;289484,52;13266237,53;9404796,49;8855695,91;60320241,51;30800184,5;47907989,86;15343117,94;719673,97;43378420,34;7831733,5;3913268,31;73714,01;147747215;27882930,74;;1380453,62;;11808626,66;1641905,41
Minas Gerais;933891,85;2569656,7;160937,1;4103530,63;834205894,4;46379448,66;33435829,53;13917612,75;53380715,1;2917481,02;481970,4;32915176,54;18017944,44;6723547,17;199754322,8;59032740,64;91418710,1;19547919,3;1070563;70754665,95;19177287,86;5549575,38;646619,15;251073944,4;62620892,72;413920,92;3737870,09;15648;51935854,42;10685561,51
Espírito Santo;120947,08;97871,16;19380;1131872,29;169036878,7;9824707,42;5017888,43;2358747,87;10184270,12;590514,81;53113,99;6800790,71;2443764,39;2330168,88;43759280,44;13425338,73;17046136,09;2846124,73;129737,9;15775757,56;3932642,04;1721921,72;58465,56;39359596,21;14001534,85;;392811,35;;6828897,15;970354,32
Rio de Janeiro;341861,54;344280,87;37081,15;2161484,79;474989269,2;17060835,43;22290531,3;9337460,77;44259325,15;1501842,89;374624,09;19831395,25;8612950,22;6692009,71;87117945,53;31928301,67;57259474,41;12503647,47;843663,88;49206362,14;8184554,98;3849812,04;258401,96;105458361,7;27854711,6;196941,27;3315761,3;32052;34345397,84;2545486,9
São Paulo;2124967,26;1202863,87;810666,7;13152456,28;1771534367;71977984,19;50432936,65;23873950,88;107623922,9;8476986,48;1130818,4;74360140,43;35052362,02;32355889,4;340788480,3;135015820,8;173063013,9;46572186,06;3369865,06;139651821,7;39116545,34;14038523,98;508393,36;373431863,8;109012942,8;1634665,43;14253120,45;97956;189985451,7;29660287,5
Paraná;460960,3;4958276,13;1131695,4;4955041,09;538373855;32449873,27;15706704,8;9374452,87;26605083,17;1722805,43;316002,43;23431088,62;22134104,75;8398508,42;187168553,9;51070058,64;67842771,22;12484627,38;466268,22;43828438,53;27222871,97;9110991,45;133314,7;187685322,8;50469383,12;415658,19;6957333,38;337468,8;61656623,41;7405447,08
Santa Catarina;391029,08;2033745,5;42160;1614286,21;277678485,5;19122889,8;7404441,27;5046861,16;21927339,09;949248,11;129787,81;10408178,31;6280279,05;3243835,81;81570854,76;25663019,87;32496962,91;8911212,27;404675,41;27619776,95;15690959,68;1979820,53;145396,7;150132770,1;22905915,73;;4073578,4;;26426984,39;2935176,61
Rio Grande do Sul;422435,39;1444786,69;288524,09;1551022,23;497842832,3;29885699,86;12934361,09;8999850,49;24671678,29;1802858,57;280809,66;21129577,97;12539738,4;6480871,4;165373707,7;43977000,27;61000045,36;13119414,6;779826,71;38848429,17;13963416,1;3139239,31;498600,46;131884626,7;43312890,03;116782,71;3142984,95;11583,2;38122123,59;8794251,4
Mato Grosso do Sul;57467,37;186816,36;;591393,17;93608687,56;4390578,44;3572758,15;1540778,66;7483125,98;229299,38;41390,6;3750287,65;724934,31;1959376,04;20319397,42;9099831,4;11702537,9;2748415,45;91805,65;12261690,82;4085434,1;1142010,26;28810,57;41804306,52;4939809,31;;648603,63;116950,4;1110633,65;273594,66
Mato Grosso;24136,6;;;450024,92;108333219,2;2583920,24;3082250,09;1950298,8;10334553,89;306257,16;77430,7;2204720,17;3169009,26;149730,86;15493396,65;8503679,14;10294562,72;2577719,64;83067,05;14934742,25;1728669,42;285017,78;41179,58;13378251,61;4581710,27;;7575,86;;106944,94;65422,56
Goiás;36120,65;17922,68;178067,84;968316,84;214611883;4615730,02;6471689,37;5072271,6;11024528,27;572044,42;72248,48;6609782,13;4683711,94;5617772,66;54590223,43;18646751,49;32477543,29;5896752,12;229337,44;19216073,28;4208141,94;5443036,18;52509,87;49153902,04;12449780,33;15044,67;416204,9;;7521852,95;698130,16
Distrito Federal;206668,06;39214,44;314;977295,18;117659334,9;7404119,87;5158463,67;4078130,52;13083591,71;348152,33;70897,07;9425563,16;1536108,81;1502170,96;18518525,12;10019310,73;15046704,64;3127625,08;287529,49;14499300,24;3587530,65;517872,5;34045,79;17650567,02;7525364,06;134079,92;728760,14;;11115352,52;1108430,07
